,Gender,Age,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,Policy Start Year,Policy Start Month,Policy Start Day,Policy End Year,Policy End Month,Policy End Day,First Transaction Year,First Transaction Month,First Transaction Day,target
0,3.0,30,1,8.0,4.0,67.0,258.0,111.0,1,2010,5,14,2011,5,13,2010,5,14,0
1,1.0,79,1,2.0,26.0,67.0,258.0,111.0,1,2010,11,29,2011,11,28,2010,11,29,1
2,3.0,43,1,8.0,32.0,67.0,258.0,111.0,1,2010,3,21,2011,3,20,2010,3,21,0
3,3.0,2,1,16.0,45.0,74.0,258.0,111.0,5,2010,8,21,2011,8,20,2010,8,21,0
4,0.0,20,3,16.0,45.0,74.0,157.0,73.0,8,2010,8,29,2010,12,31,2010,8,29,1
5,3.0,37,2,16.0,45.0,74.0,258.0,111.0,1,2010,10,21,2011,10,20,2010,10,21,0
6,1.0,40,3,16.0,45.0,74.0,115.0,73.0,0,2010,8,2,2011,8,1,2010,8,2,0
7,3.0,43,1,8.0,45.0,67.0,258.0,111.0,5,2010,9,12,2011,9,11,2010,9,12,0
8,1.0,71,2,2.0,4.0,57.0,49.0,23.0,1,2010,7,6,2011,7,5,2010,7,6,0
9,1.0,58,1,16.0,45.0,74.0,84.0,39.0,1,2010,12,18,2011,12,17,2010,12,18,0
10,1.0,43,1,16.0,45.0,74.0,258.0,111.0,5,2010,12,23,2011,12,22,2010,12,23,0
11,3.0,45,1,2.0,45.0,42.0,247.0,73.0,2,2010,10,25,2011,10,23,2010,10,25,0
12,3.0,51,1,8.0,45.0,67.0,258.0,111.0,1,2010,1,3,2011,1,2,2010,1,3,1
13,1.0,120,2,16.0,45.0,67.0,121.0,73.0,1,2010,3,26,2011,3,25,2010,3,26,0
14,3.0,38,1,16.0,45.0,74.0,159.0,73.0,1,2010,9,10,2011,9,9,2010,9,10,0
15,3.0,81,1,16.0,0.0,29.0,64.0,27.0,1,2010,11,19,2011,11,5,2010,11,19,0
16,1.0,69,1,8.0,45.0,67.0,258.0,111.0,5,2010,4,26,2011,4,25,2010,4,26,0
17,1.0,31,1,8.0,4.0,67.0,258.0,111.0,1,2010,5,9,2011,5,8,2010,5,9,0
18,3.0,70,1,16.0,45.0,67.0,84.0,39.0,1,2010,6,28,2011,6,27,2010,6,28,0
19,3.0,20,1,16.0,7.0,33.0,11.0,85.0,0,2010,7,27,2011,6,14,2010,7,27,0
20,0.0,20,2,16.0,45.0,17.0,157.0,73.0,0,2010,12,13,2011,6,12,2010,12,13,0
21,3.0,30,1,16.0,45.0,74.0,258.0,111.0,1,2010,10,16,2011,10,15,2010,10,16,0
22,3.0,30,1,8.0,26.0,67.0,115.0,73.0,1,2010,8,7,2011,8,6,2010,8,7,1
23,3.0,34,1,8.0,7.0,67.0,258.0,111.0,1,2010,3,5,2011,3,4,2010,3,5,0
24,3.0,40,2,8.0,4.0,26.0,16.0,7.0,1,2010,10,28,2011,10,27,2010,10,28,0
25,3.0,1,1,16.0,45.0,74.0,258.0,111.0,5,2010,12,11,2011,12,10,2010,12,11,0
26,3.0,41,1,8.0,37.0,67.0,253.0,23.0,1,2010,1,23,2011,1,16,2010,1,23,0
27,3.0,31,1,8.0,26.0,67.0,258.0,111.0,1,2010,7,2,2011,7,1,2010,7,2,0
28,3.0,40,1,8.0,45.0,67.0,258.0,111.0,5,2010,3,1,2011,3,1,2010,3,1,0
29,2.0,20,1,16.0,0.0,67.0,21.0,23.0,1,2010,2,10,2011,2,9,2010,2,10,0
30,3.0,47,2,8.0,45.0,67.0,237.0,73.0,5,2010,3,16,2011,3,15,2010,3,16,0
31,1.0,40,1,16.0,26.0,49.0,159.0,73.0,1,2010,1,22,2011,1,21,2010,1,22,0
32,7.0,34,1,16.0,45.0,74.0,247.0,73.0,1,2010,10,7,2011,4,5,2010,10,7,0
33,7.0,2,1,5.0,32.0,36.0,247.0,73.0,7,2010,7,2,2011,7,1,2010,7,2,0
34,1.0,36,1,2.0,45.0,49.0,258.0,111.0,2,2010,6,21,2011,6,19,2010,6,21,0
35,3.0,37,1,8.0,45.0,26.0,258.0,111.0,5,2010,4,4,2011,4,3,2010,4,4,0
36,3.0,46,1,16.0,45.0,74.0,258.0,111.0,5,2010,11,28,2011,11,27,2010,11,28,0
37,3.0,48,1,16.0,45.0,74.0,258.0,111.0,5,2010,8,7,2011,8,6,2010,8,7,0
38,7.0,120,2,2.0,0.0,67.0,247.0,73.0,1,2010,5,8,2011,5,7,2010,5,8,0
39,3.0,39,2,8.0,32.0,67.0,213.0,93.0,1,2010,9,6,2011,9,5,2010,9,6,0
40,1.0,63,2,8.0,45.0,2.0,16.0,7.0,5,2010,11,9,2011,11,8,2010,11,9,0
41,1.0,39,1,8.0,4.0,26.0,34.0,73.0,1,2010,3,12,2011,3,11,2010,3,12,0
42,3.0,40,1,8.0,45.0,26.0,258.0,111.0,5,2010,2,12,2011,2,11,2010,2,12,0
